name,type,w,h
csr_regfile_i,StdCell,415.913,706.457
i_frontend,StdCell,324.119,1253.2
i_perf_counters,StdCell,415.913,137.251
(root)_glue_logic,StdCell,609.314,86.0507
ex_stage_i/i_mult,StdCell,879.391,273.771
(ex_stage_i)_glue_logic,StdCell,415.913,98.0702
i_cache_subsystem/i_icache/sram_block_0__data_sram,StdCell,0.001,0.001
i_cache_subsystem/i_icache/sram_block_1__data_sram,StdCell,0.001,0.001
i_cache_subsystem/i_icache/sram_block_2__data_sram,StdCell,0.001,0.001
i_cache_subsystem/i_icache/sram_block_3__data_sram,StdCell,0.001,0.001
issue_stage_i/i_issue_read_operands,StdCell,291.11,662.818
issue_stage_i/i_scoreboard,StdCell,309.068,1027.83
(issue_stage_i)_glue_logic,StdCell,0.001,0.001
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_0__i_ram/macro_mem_0,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_0__i_ram/macro_mem_1,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_0__i_ram/macro_mem_2,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_0__i_ram/macro_mem_3,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_1__i_ram/macro_mem_0,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_1__i_ram/macro_mem_1,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_1__i_ram/macro_mem_2,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_0__data_sram/genblk1_1__i_ram/macro_mem_3,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_0__i_ram/macro_mem_0,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_0__i_ram/macro_mem_1,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_0__i_ram/macro_mem_2,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_0__i_ram/macro_mem_3,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_1__i_ram/macro_mem_0,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_1__i_ram/macro_mem_1,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_1__i_ram/macro_mem_2,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_1__data_sram/genblk1_1__i_ram/macro_mem_3,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__data_sram/genblk1_0__i_ram/macro_mem_0,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__data_sram/genblk1_0__i_ram/macro_mem_1,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__data_sram/genblk1_0__i_ram/macro_mem_2,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__data_sram/genblk1_0__i_ram/macro_mem_3,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__data_sram/genblk1_1__i_ram/macro_mem_0,Macro,97.71,60.6
i_cache_subsystem/i_icache/sram_block_2__data_sram/genblk1_1__i_ram/macro_mem_1,Macro,97.71,60.6
